,,,,向量,一维数组,矩阵/二维数组,三维数组,列表,数据框,
选出相应数据,各维度只索引一个数,选出一个维度,[i],第i个数据,第i个数据,第i个数据,第i个数据,第i行数据/对象组成的单行列表,"第i列数据组成的单列数据框（效果等同于[,i,drop = FALSE）",A
,,,[[i]],同上,同上,同上,同上,第i行数据/对象,"第i列数据组成的向量（效果等同于[,i]）",B
,,选出两个维度,"[i,j]",-,-,第i行、第j列的数据,-,-,第i行、第j列的数据,
,,,"[[i,j]]",-,-,同上,-,-,同上,
,,,"[i,]",-,-,第i行数据组成的向量,-,-,第i行数据组成的单行数据框（前提是原数据框有多列）,
,,,"[i,,drop = FALSE]",-,-,第i行数据组成的单行矩阵,-,-,第i行数据组成的单行数据框,
,,,"[,j]",-,-,第j列数据组成的向量,-,-,第j列数据组成的向量（效果等同于[[j]]）,B
,,,"[,j,drop = FALSE]",-,-,第j列数据组成的单列矩阵,-,-,第j列数据组成的单列数据框（效果等同于[j]）,A
,,选出三个维度,"[i,j,k]",-,-,-,第k个表格中第i行、第j列的数据,-,-,
,,,"[[i,j,k]]",-,-,-,同上,-,-,
,,,"[i,,k]",-,-,-,第k个表格中第i行的所有数据组成的向量,-,-,
,,,"[i,,k,drop = FALSE]",-,-,-,第k个表格中第i行的所有数据组成的三维数组,-,-,
,,,"[i,,]",-,-,-,每个表格的第i行的所有数据组成的矩阵（前提是有多个表格、每个表格有多列）,-,-,
,,,"[i,,,drop = FALSE]",-,-,-,每个表格的第i行的所有数据组成的三维数组,-,-,
,各维度索引多个数,选出一个维度,"[c(i,j,……)]","第i,j,……个数据组成的向量","第i,j,……个数据组成的向量","第i,j,……个数据组成的向量","第i,j,……个数据组成的向量","第i,j,……行数据/对象组成的列表","第i,j,……列数据组成的数据框（效果等同于[,c(i,j,……)]）",C
,,选出两个维度,"[c(i1,j1,……),c(i2,j2,……)]",-,-,"第i1,j1……行、第i2,j2,……列的元素组成的矩阵",-,-,"第i1,j1……行、第i2,j2,……列的元素组成的数据框",
,,,"[c(i1,j1,……),]",-,-,"第i1,j1……行的所有元素组成的矩阵（前提是原矩阵有多列）",-,-,"第i1,j1……行的所有元素组成的数据框（前提是原数据框有多列）",
,,,"[,c(i2,j2,……)]",-,-,"第i2,j2,……列的所有元素组成的矩阵（前提是原矩阵有多行）",-,-,"第i2,j2,……列的所有元素组成的数据框（效果等同于[c(i,j,……)]）",C
,,选出三个维度,"[c(i1,j1,……),c(i2,j2,……),c(i3,j3,……)]",-,-,-,"第i3,j3,……个表格中第i1,j1,……行、第i2,j2,……列的所有元素组成的三维数组",-,-,
删除相应数据,各维度只索引一个数,删除一个维度,[-i],删除第i个数据后剩下的数据组成的向量,删除第i个数据后剩下的数据组成的向量,删除第i个数据后剩下的数据组成的向量,删除第i个数据后剩下的数据组成的向量,删除第i行数据/对象后剩下的数据/对象组成的列表,删除第i列数据后剩下的数据组成的数据框,
,,删除两个维度,"[-i,-j]",-,-,删除第i行和第j列数据后剩下的数据组成的数据/向量/矩阵,-,-,删除第i行和第j列数据后剩下的数据组成的数据/向量/数据框,
,,,"[-i,-j,drop = FALSE]",-,-,删除第i行和第j列数据后剩下的数据组成的矩阵,-,-,删除第i行和第j列数据后剩下的数据组成的数据框,
,各维度索引多个数,删除一个维度,"[-c(i,j,……)]","删除第i,j,……个数据后剩下的数据组成的向量","删除第i,j,……个数据后剩下的数据组成的向量","删除第i,j,……个数据后剩下的数据组成的向量","删除第i,j,……个数据后剩下的数据组成的向量","删除第i,j,……行数据后剩下的数据组成的列表","删除第i,j,……列数据后剩下的数据组成的数据框",
,,删除两个维度,"[-c(i1,j1,……),-c(i2,j2,……)]",-,-,"删除第i1,j1……行、第i2,j2,……列的元素后剩下的元素组成的数据/向量/矩阵",-,-,"删除第i1,j1……行、第i2,j2,……列的元素后剩下的元素组成的数据/向量/数据框",
,,,"[-c(i1,j1,……),-c(i2,j2,……),drop = FALSE]",-,-,"删除第i1,j1……行、第i2,j2,……列的元素后剩下的元素组成的矩阵",-,-,"删除第i1,j1……行、第i2,j2,……列的元素后剩下的元素组成的数据框",
无意义的情况,,,"[[i,]]",-,-,-,-,-,-,
,,,"[[,j]]",-,-,-,-,-,-,
,,,"[[c(i,j,……)]]",-,-,-,-,-,-,
,,,[[-i]],-,-,-,-,-,-,
